system:index,status,system:asset_size,system:band_names,system:bands,system:footprint,system:id,system:time_end,system:time_start,system:version,.geo
20230601120000,provisional,16118943,"[HQobservationTime, HQprecipSource, HQprecipitation, IRkalmanFilterWeight, IRprecipitation, precipitationCal, precipitationUncal, probabilityLiquidPrecipitation, randomError]",<Element>,"LinearRing(-180.0,-90.0, 180.0,-90.0, 180.0,90.0, -180.0,90.0, -180.0,-90.0)",NASA/GPM_L3/IMERG_V06/20230601120000,1.685622599E12,1.6856208E12,1685741299678072,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
20230601123000,provisional,15945235,"[HQobservationTime, HQprecipSource, HQprecipitation, IRkalmanFilterWeight, IRprecipitation, precipitationCal, precipitationUncal, probabilityLiquidPrecipitation, randomError]",<Element>,"LinearRing(-180.0,-90.0, 180.0,-90.0, 180.0,90.0, -180.0,90.0, -180.0,-90.0)",NASA/GPM_L3/IMERG_V06/20230601123000,1.685624399E12,1.6856226E12,1685741947481170,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
20230601130000,provisional,16237949,"[HQobservationTime, HQprecipSource, HQprecipitation, IRkalmanFilterWeight, IRprecipitation, precipitationCal, precipitationUncal, probabilityLiquidPrecipitation, randomError]",<Element>,"LinearRing(-180.0,-90.0, 180.0,-90.0, 180.0,90.0, -180.0,90.0, -180.0,-90.0)",NASA/GPM_L3/IMERG_V06/20230601130000,1.685626199E12,1.6856244E12,1685741293965120,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
20230601133000,provisional,16044724,"[HQobservationTime, HQprecipSource, HQprecipitation, IRkalmanFilterWeight, IRprecipitation, precipitationCal, precipitationUncal, probabilityLiquidPrecipitation, randomError]",<Element>,"LinearRing(-180.0,-90.0, 180.0,-90.0, 180.0,90.0, -180.0,90.0, -180.0,-90.0)",NASA/GPM_L3/IMERG_V06/20230601133000,1.685627999E12,1.6856262E12,1685741374192685,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
20230601140000,provisional,16055271,"[HQobservationTime, HQprecipSource, HQprecipitation, IRkalmanFilterWeight, IRprecipitation, precipitationCal, precipitationUncal, probabilityLiquidPrecipitation, randomError]",<Element>,"LinearRing(-180.0,-90.0, 180.0,-90.0, 180.0,90.0, -180.0,90.0, -180.0,-90.0)",NASA/GPM_L3/IMERG_V06/20230601140000,1.685629799E12,1.685628E12,1685741875917976,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
20230601143000,provisional,16632762,"[HQobservationTime, HQprecipSource, HQprecipitation, IRkalmanFilterWeight, IRprecipitation, precipitationCal, precipitationUncal, probabilityLiquidPrecipitation, randomError]",<Element>,"LinearRing(-180.0,-90.0, 180.0,-90.0, 180.0,90.0, -180.0,90.0, -180.0,-90.0)",NASA/GPM_L3/IMERG_V06/20230601143000,1.685631599E12,1.6856298E12,1685742311981534,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
20230601150000,provisional,17717058,"[HQobservationTime, HQprecipSource, HQprecipitation, IRkalmanFilterWeight, IRprecipitation, precipitationCal, precipitationUncal, probabilityLiquidPrecipitation, randomError]",<Element>,"LinearRing(-180.0,-90.0, 180.0,-90.0, 180.0,90.0, -180.0,90.0, -180.0,-90.0)",NASA/GPM_L3/IMERG_V06/20230601150000,1.685633399E12,1.6856316E12,1685741843473446,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
20230601153000,provisional,17642226,"[HQobservationTime, HQprecipSource, HQprecipitation, IRkalmanFilterWeight, IRprecipitation, precipitationCal, precipitationUncal, probabilityLiquidPrecipitation, randomError]",<Element>,"LinearRing(-180.0,-90.0, 180.0,-90.0, 180.0,90.0, -180.0,90.0, -180.0,-90.0)",NASA/GPM_L3/IMERG_V06/20230601153000,1.685635199E12,1.6856334E12,1685741907311250,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
20230601160000,provisional,16629699,"[HQobservationTime, HQprecipSource, HQprecipitation, IRkalmanFilterWeight, IRprecipitation, precipitationCal, precipitationUncal, probabilityLiquidPrecipitation, randomError]",<Element>,"LinearRing(-180.0,-90.0, 180.0,-90.0, 180.0,90.0, -180.0,90.0, -180.0,-90.0)",NASA/GPM_L3/IMERG_V06/20230601160000,1.685636999E12,1.6856352E12,1685741959398945,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
20230601163000,provisional,16353974,"[HQobservationTime, HQprecipSource, HQprecipitation, IRkalmanFilterWeight, IRprecipitation, precipitationCal, precipitationUncal, probabilityLiquidPrecipitation, randomError]",<Element>,"LinearRing(-180.0,-90.0, 180.0,-90.0, 180.0,90.0, -180.0,90.0, -180.0,-90.0)",NASA/GPM_L3/IMERG_V06/20230601163000,1.685638799E12,1.685637E12,1685742197977731,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
