system:index,occurrence,.geo
104,44,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.42292513068847,22.639566369201226]}"
105,68,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.42319462527374,22.639566369201226]}"
106,68,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.42346411985895,22.639566369201226]}"
107,66,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.42373361444422,22.639566369201226]}"
108,65,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.42400310902943,22.639566369201226]}"
109,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.4242726036147,22.639566369201226]}"
110,17,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.40998939059719,22.639296874615994]}"
111,45,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.4102588851824,22.639296874615994]}"
112,49,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.41052837976767,22.639296874615994]}"
113,29,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.41079787435288,22.639296874615994]}"
114,20,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.42292513068847,22.639296874615994]}"
115,69,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.42319462527374,22.639296874615994]}"
116,69,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.42346411985895,22.639296874615994]}"
117,63,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.42373361444422,22.639296874615994]}"
118,65,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.42400310902943,22.639296874615994]}"
119,15,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.4242726036147,22.639296874615994]}"
120,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.41052837976767,22.639027380030754]}"
121,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.4215776577623,22.639027380030754]}"
122,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.42184715234757,22.639027380030754]}"
123,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.42211664693278,22.639027380030754]}"
124,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.42238614151805,22.639027380030754]}"
125,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.42265563610326,22.639027380030754]}"
126,54,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.42292513068847,22.639027380030754]}"
127,67,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.42319462527374,22.639027380030754]}"
128,67,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.42346411985895,22.639027380030754]}"
129,64,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.42373361444422,22.639027380030754]}"
130,19,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.42400310902943,22.639027380030754]}"
131,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.41052837976767,22.63875788544552]}"
132,25,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.4215776577623,22.63875788544552]}"
133,63,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.42184715234757,22.63875788544552]}"
134,60,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.42211664693278,22.63875788544552]}"
135,56,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.42238614151805,22.63875788544552]}"
136,60,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.42265563610326,22.63875788544552]}"
137,65,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.42292513068847,22.63875788544552]}"
138,67,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.42319462527374,22.63875788544552]}"
139,67,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.42346411985895,22.63875788544552]}"
140,59,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.42373361444422,22.63875788544552]}"
141,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.44798812711545,22.63875788544552]}"
142,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.44825762170066,22.63875788544552]}"
143,53,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.4215776577623,22.63848839086028]}"
144,65,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.42184715234757,22.63848839086028]}"
145,23,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.42211664693278,22.63848839086028]}"
146,23,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.42238614151805,22.63848839086028]}"
147,64,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.42265563610326,22.63848839086028]}"
148,22,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.42292513068847,22.63848839086028]}"
149,20,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.42319462527374,22.63848839086028]}"
150,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.44798812711545,22.63848839086028]}"
151,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.4215776577623,22.63821889627505]}"
152,16,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.42184715234757,22.63821889627505]}"
153,20,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.42211664693278,22.63821889627505]}"
154,23,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.42238614151805,22.63821889627505]}"
155,23,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.42265563610326,22.63821889627505]}"
156,18,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.42292513068847,22.63821889627505]}"
157,23,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.42696754946704,22.63821889627505]}"
158,23,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.42723704405225,22.63821889627505]}"
159,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.43774733287646,22.63821889627505]}"
160,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.42238614151805,22.637949401689816]}"
161,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.42265563610326,22.637949401689816]}"
162,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.45607296467253,22.636601928763632]}"
163,13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.45607296467253,22.6363324341784]}"
164,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.44178975165502,22.63606293959316]}"
165,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.44205924624023,22.63606293959316]}"
166,12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.44178975165502,22.635793445007927]}"
167,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.44205924624023,22.635793445007927]}"
168,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.41591827147235,22.635523950422687]}"
169,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.41618776605762,22.635523950422687]}"
170,11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.44178975165502,22.635523950422687]}"
171,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.44205924624023,22.635523950422687]}"
172,14,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.41591827147235,22.635254455837455]}"
173,72,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.41618776605762,22.635254455837455]}"
174,66,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.41645726064283,22.635254455837455]}"
175,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.44125076248454,22.635254455837455]}"
176,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.44152025706975,22.635254455837455]}"
177,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.44178975165502,22.635254455837455]}"
178,11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.41591827147235,22.634984961252222]}"
179,23,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.41618776605762,22.634984961252222]}"
180,69,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.41645726064283,22.634984961252222]}"
181,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.44125076248454,22.634984961252222]}"
182,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.44152025706975,22.634984961252222]}"
183,16,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.417804733569,22.63229001539986]}"
184,43,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.41807422815427,22.63229001539986]}"
185,38,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.417804733569,22.632020520814628]}"
186,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.46011538345104,22.62986456413274]}"
187,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.44071177331406,22.6295950695475]}"
